"year","operatingcarrier","airlinename","totalflights","sumofyearlydelayeddeapartureminutes","sumofyearlydelayedsarrivalminutes","delayeddepartedflights","delayedarrivalflights","ontimeperformancedeparture","ontimeperformancearrival"
"2020","AS","Alaska Airlines Inc.","204443","1128393","1212395","39658","48553","80.6019281657968236","76.2510822087329965"
"2020","B6","JetBlue Airways","144163","1118838","1155334","29453","33242","79.5696537946629856","76.9413788558784154"
"2020","C5","CommuteAir LLC dba CommuteAir","15901","113763","135538","2091","4121","86.8498836551160304","74.0833909816992642"
"2020","DL","Delta Air Lines Inc.","825910","5100327","5340156","136923","171304","83.4215592497971934","79.2587570074221162"
"2020","EM","Empire Airlines Inc.","2089","9134","9194","313","357","85.0167544279559598","82.9104834849210148"
"2020","EV","ExpressJet Airlines LLC d/b/a aha!","8486","24601","35486","683","1711","91.9514494461465944","79.8373792128211171"
"2020","F9","Frontier Airlines Inc.","91175","640062","633479","16772","19056","81.6046065259117083","79.0995338634494105"
"2020","G4","Allegiant Air","98489","1080016","1115734","20781","24949","78.9001817461848531","74.6682370620069246"
"2020","G7","GoJet Airlines LLC d/b/a United Express","17477","77730","79077","1631","2226","90.6677347370830234","87.2632602849459289"
"2020","HA","Hawaiian Airlines Inc.","43415","160970","180515","8475","10236","80.4790970862605090","76.4228953126799493"
"2020","MQ","Envoy Air","99160","557804","773478","15095","30434","84.7771278741427995","69.3081887858007261"
"2020","NK","Spirit Air Lines","135102","1032194","1023290","29862","32442","77.8967002709064263","75.9870320202513656"
"2020","OH","PSA Airlines Inc.","84025","547332","633983","13504","22318","83.9285926807497769","73.4388574828919964"
"2020","OO","SkyWest Airlines Inc.","292993","2091160","2216972","40191","60799","86.2826074343073043","79.2489922967442908"
"2020","PT","Piedmont Airlines","26272","166982","195064","3101","6009","88.1965590742996346","77.1277405602923264"
"2020","QX","Horizon Air","52344","192433","227355","8273","12404","84.1949411584899893","76.3029191502368944"
"2020","UA","United Air Lines Inc.","626911","5138412","5166409","111417","128416","82.2276208265607080","79.5160716592945410"
"2020","WN","Southwest Airlines Co.","961276","3637115","2975631","201030","142425","79.0871716343693174","85.1837557579716960"
"2020","YV","Mesa Airlines Inc.","62040","526120","579542","10238","15865","83.4977433913604126","74.4277885235332044"
"2020","YX","Republic Airline","106112","403379","473904","9922","17657","90.6495024125452352","83.3600346803377563"
"2020","ZW","Air Wisconsin Airlines Corp","21725","95647","105064","1849","3119","91.4890678941311853","85.6432681242807825"
"2021","AA","American Airlines Inc.","1674371","21682866","21563032","472114","500237","71.8035011356503427","70.1238853276842468"
"2021","AS","Alaska Airlines Inc.","359458","2806676","3069107","102087","120665","71.5997418335382715","66.4314050598400926"
"2021","B6","JetBlue Airways","202702","4052628","3960789","84246","82383","58.4384959201191897","59.3575791062742351"
"2021","DL","Delta Air Lines Inc.","1357322","11972771","11717673","322210","325405","76.2613440289039741","76.0259540477499075"
"2021","F9","Frontier Airlines Inc.","137142","2158281","2165015","46407","49556","66.1613510084438028","63.8651908241093173"
"2021","G4","Allegiant Air","115881","2200694","2378523","47602","54246","58.9216523847740354","53.1881844305796464"
"2021","HA","Hawaiian Airlines Inc.","60654","315258","320957","18122","17944","70.1223332344115804","70.4158011013288489"
"2021","NK","Spirit Air Lines","191361","2686740","2703962","65848","69654","65.5896447029436510","63.6007336918180821"
"2021","UA","United Air Lines Inc.","1148340","15874897","16523303","339994","379392","70.3925666614417333","66.9617012383092116"
"2021","WN","Southwest Airlines Co.","1064640","15413518","13102108","557060","419990","47.6762097986173730","60.5509843703035768"
"2022","AA","American Airlines Inc.","1759257","26806480","27657136","560981","616772","68.1126179972567965","64.9413360299262700"
"2022","AS","Alaska Airlines Inc.","382544","3805153","4160633","126424","146608","66.9517754820360534","61.6755196787820486"
"2022","B6","JetBlue Airways","273058","6954912","6864816","128314","124961","53.0085183367636180","54.2364625830409657"
"2022","DL","Delta Air Lines Inc.","1448920","18207611","17926709","434144","425617","70.0367170030091378","70.6252243049995859"
"2022","F9","Frontier Airlines Inc.","155482","3687147","3638684","72339","73874","53.4743571603143772","52.4871046166115692"
"2022","G4","Allegiant Air","116877","2512740","2771056","53631","60851","54.1132985959598552","47.9358641991153093"
"2022","HA","Hawaiian Airlines Inc.","73865","877021","920763","38030","38831","48.5141812766533541","47.4297705273133419"
"2022","NK","Spirit Air Lines","232400","3868432","3956337","90219","93130","61.1794320137693632","59.9268502581755594"
"2022","UA","United Air Lines Inc.","1263956","18833871","18557029","419655","404120","66.7982904468193513","68.0273680412925766"
"2022","WN","Southwest Airlines Co.","1307149","20037466","17275053","713906","542292","45.3844971001775620","58.5133752923346918"
"2023","9E","Endeavor Air Inc.","150454","1821149","1872714","35864","39102","76.1628138833131721","74.0106610658407221"
"2023","AA","American Airlines Inc.","707372","16117150","16227897","277597","285852","60.7565750411381847","59.5895794574848877"
