"flightdate","totalflights","ontimeperformancedeparture","ontimeperformancearrival"
"2009-07-22","19293","64.5570932462551184","62.1831752449074794"
"2009-07-23","19368","52.5867410161090458","48.1567534076827757"
"2009-07-24","19424","60.4973228995057661","60.1884266886326194"
"2009-07-25","16545","62.6110607434270172","62.7440314294348746"
"2009-07-26","18432","59.2393663194444444","58.2899305555555556"
"2009-07-27","19343","55.4464147236726464","53.9833531510107015"
"2009-07-28","19196","58.6163784121692019","55.2042092102521359"
"2009-07-29","19287","52.5431637890807280","47.6694146316171514"
"2009-07-30","19365","45.9540407952491609","43.7232119803769688"
"2009-07-31","19417","46.5622907761240150","43.3486120409950044"
"2009-08-01","16527","48.9138984691716585","53.4458764446057966"
"2009-08-02","18402","49.9945658080643408","51.2770351048799044"
"2009-08-03","19311","56.3927295323908653","59.1113872922168712"
"2009-08-04","19130","60.3188708834291688","61.3068478829064297"
"2009-08-05","19228","59.9126274183482421","59.0909090909090909"
"2009-08-06","19319","60.8623634763704125","61.4938661421398623"
"2009-08-07","19390","61.8411552346570397","62.5734914904589995"
"2009-08-08","16533","61.5919675799915321","64.5980765741244783"
"2009-08-09","18411","59.1602846124599424","59.3775460322633208"
"2009-08-10","19303","58.4883178780500440","59.2291353675594467"
"2009-08-11","19111","63.4660666631782743","64.0887447020040814"
"2009-08-12","19198","59.0113553495155745","56.9798937389311387"
"2009-08-13","19304","58.2055532532117696","57.5062163282221301"
"2009-08-14","19365","63.8368190033565711","64.9212496772527756"
"2009-08-15","16518","66.6848286717520281","69.3606974209952779"
"2009-08-16","18120","60.6953642384105960","60.0386313465783664"
"2009-08-17","19075","53.0170380078636959","51.5648754914809961"
"2009-08-18","18517","59.3076632283847275","56.0403953124156181"
"2009-08-19","18649","62.9041771676765510","59.8369885784760577"
"2009-08-20","18766","56.3945433230310135","51.7478418416284770"
"2009-08-21","18840","53.9808917197452229","50.4299363057324841"
"2009-08-22","15396","58.7944920758638607","58.2164198493115095"
"2009-08-23","17683","68.3255103771984392","68.0766838206186733"
"2009-08-24","18732","70.9481101857783472","69.9658338671791587"
"2009-08-25","18304","76.3876748251748252","74.9508304195804196"
"2009-08-26","18502","71.7165711814938926","67.8250999891903578"
"2009-08-27","18667","72.5451331226228103","68.7041302833877966"
"2009-08-28","18728","60.8660828705681333","54.6134130713370355"
"2009-08-29","15166","74.8977977053936437","73.8296188843465647"
"2009-08-30","17582","70.4129223069047890","70.6574906154021158"
"2009-08-31","18524","74.0984668538112719","71.4748434463398834"
"2009-09-01","17616","78.0937783832879201","74.6764305177111717"
"2009-09-02","17809","80.5660059520467180","77.0677747206468639"
"2009-09-03","18229","70.3110428438202864","65.6097427176477042"
"2009-09-04","18275","69.9699042407660739","68.3994528043775650"
"2009-09-05","13780","76.7561683599419448","76.2772133526850508"
"2009-09-06","13638","83.6266314708901598","83.1646869042381581"
"2009-09-07","17099","77.2267384057547225","76.4489151412363296"
"2009-09-08","17800","69.8258426966292135","69.4382022471910112"
"2009-09-09","17508","74.5087959789810372","68.4544208361891707"
"2009-09-10","18058","72.8319858234577473","66.3528629970096356"
"2009-09-11","18155","64.7920683007435968","57.8353070779399614"
"2009-09-12","14038","66.4909531272261006","62.8223393645818493"
"2009-09-13","17005","63.5754189944134078","61.0467509556012937"
"2009-09-14","17909","69.5795410128985426","67.7983136970238428"
"2009-09-15","17202","77.6886408557144518","74.1948610626671317"
"2009-09-16","17465","72.5851703406813627","65.3077583738906384"
"2009-09-17","18031","65.3208363374188897","61.4330874604847208"
"2009-09-18","18113","69.2706895599845415","66.6317009882404903"
"2009-09-19","13988","76.4798398627394910","74.8141263940520446"
"2009-09-20","16955","67.1011501032143910","64.9306989088764376"
"2009-09-21","17897","61.4684025255629435","57.8812091411968486"
"2009-09-22","17186","70.3246828814151053","64.2499709065518445"
"2009-09-23","17477","70.0406248211935687","63.5234880128168450"
"2009-09-24","18027","70.1392355910578577","66.5890053808176624"
"2009-09-25","18110","65.9580342352291552","61.4135836554389840"
"2009-09-26","13993","72.8792967912527692","69.5704995354820267"
"2009-09-27","16950","67.7050147492625369","65.4395280235988201"
"2009-09-28","17883","70.2454845383884136","64.6088463904266622"
"2009-09-29","17180","79.4179278230500582","75.0116414435389988"
"2009-09-30","17476","76.5392538338292515","72.5680933852140078"
"2009-11-01","17032","74.6535932362611555","79.2919210897134805"
"2009-11-02","17867","76.6832708344993564","78.9108412156489618"
"2009-11-03","17202","82.1939309382629927","83.9844204162306709"
"2009-11-04","17539","80.3010433890187582","80.5690176178801528"
"2009-11-05","18042","75.4461811329120940","75.6955991575213391"
"2009-11-06","18078","72.4527049452373050","74.6653390861820998"
"2009-11-07","14233","81.4796599451977798","83.5523080165811846"
"2009-11-08","17055","75.3268836118440340","78.2409850483729112"
"2009-11-09","17843","78.4341198228997366","80.3452334248724990"
"2009-11-10","17215","74.7022945106012199","73.9936102236421725"
"2009-11-11","17501","75.4814010627964116","73.7557853836923604"
"2009-11-12","18018","70.7070707070707071","68.1374181374181374"
"2009-11-13","18037","68.2430559405666131","66.2194378222542551"
"2009-11-14","14196","77.0780501549732319","76.9301211608903917"
"2009-11-15","17037","69.8479779303868052","70.9631977460820567"
"2009-11-16","17854","73.1712781449535118","74.5659236025540495"
"2009-11-17","17227","78.4930632147210774","75.2365472804318802"
"2009-11-18","17507","74.1132118581138973","71.7541554806648769"
"2009-11-19","18092","56.5885474242759231","58.8492151227061685"
"2009-11-20","18172","63.6033458067356372","64.4728153202729474"
"2009-11-21","14395","73.6575199722125738","79.6109760333449114"
"2009-11-22","17090","69.3212404915155061","70.1813926272674078"
"2009-11-23","17316","69.1614691614691615","70.2471702471702472"
"2009-11-24","17910","67.5209380234505863","66.4377442769402568"
"2009-11-25","18255","70.2273349767187072","67.7403451109285127"
"2009-11-26","11476","78.3025444405716277","81.0996863018473336"
"2009-11-27","13944","81.7699368904188181","83.7205966724039013"
"2009-11-28","16458","78.2598128569692551","80.3135253372220197"
"2009-11-29","18530","70.8041014570966001","69.5628710199676201"
"2009-11-30","18419","59.6775069221999023","60.9316466692002823"
"2009-12-01","17315","64.4123592261045336","67.7736066993935894"
"2009-12-02","17411","59.1292860835104244","56.4068692206076618"
"2009-12-03","17877","68.6860211444873301","66.3534150025172009"
"2009-12-04","17927","66.9660288949629051","63.8199364087688961"
"2009-12-05","13997","66.0355790526541402","62.2276202043294992"
"2009-12-06","16890","64.0023682652457075","61.0834813499111901"
"2009-12-07","17696","58.7138336347197107","53.3849457504520796"
"2009-12-08","16880","53.2464454976303318","45.1718009478672986"
"2009-12-09","17348","54.4500807009453539","48.5012681577127046"
"2009-12-10","17859","55.4678313455400638","50.6523321574556246"
"2009-12-11","17928","57.4352967425256582","53.0566711289602856"
"2009-12-12","14032","64.9515393386545040","62.4857468643101482"
"2009-12-13","16921","54.0393593759234088","49.1342119260091011"
"2009-12-14","17702","51.7399163936278387","51.5930403344254886"
"2009-12-15","17017","66.8919315978139508","65.9575718399247811"
"2009-12-16","17615","62.1913142208345160","66.3866023275617372"
"2009-12-17","18044","56.7557082686765684","63.4005763688760807"
"2009-12-18","18146","47.7350380249090709","50.6613027664499063"
"2009-12-19","15985","53.9505786675007820","54.8576790741319987"
"2009-12-20","17503","49.1401474033022910","52.8195166542878364"
"2009-12-21","18181","40.5753258896650349","45.4595456795555800"
"2009-12-22","18152","41.4665050683120317","44.2540766857646540"
"2009-12-23","18150","45.8953168044077135","48.6115702479338843"
"2009-12-24","15086","52.7243802200715896","57.7157629590348668"
"2009-12-25","14416","53.9816870144284129","58.3448945615982242"
"2009-12-26","16423","44.0723375753516410","44.7664860256956707"
"2009-12-27","17802","47.1688574317492417","50.7414897202561510"
"2009-12-28","18116","50.2263192757783175","54.7085449326562155"
"2009-12-29","18074","50.7026668142082550","54.2823945999778688"
"2009-12-30","18055","50.3738576571586818","50.4680144004430906"
"2009-12-31","14721","48.1421099110114802","47.5103593505875960"
"2010-01-01","15267","57.6668631689264427","63.2868277985196830"
"2010-01-02","16467","44.8715613044270359","47.1549158923908423"
"2010-01-03","17823","41.7045390787185098","45.3851764573865230"
"2010-01-04","18100","44.6022099447513812","49.5414364640883978"
"2010-01-05","17081","53.4687664656636028","56.0037468532287337"
"2010-01-06","17410","62.4238943136128662","60.5628948879954049"
"2010-01-07","17873","56.2748279527779332","53.1248251552621272"
"2010-01-08","17944","52.1176995095853767","47.6649576460098083"
"2010-01-09","14092","64.9872267953448765","65.4342889582741981"
"2010-01-10","16593","63.4665220273609353","65.3709395528234798"
"2010-01-11","17704","68.7132851333032083","66.7363307727067329"
"2010-01-12","16948","72.1206042010856738","68.1083313665329242"
"2010-01-13","17321","77.7437792275272790","76.6872582414410253"
"2010-01-14","17814","73.3075109464466150","71.3315369933759964"
"2010-01-15","17874","66.6554772294953564","67.1645966207899743"
"2010-01-16","13693","72.8839553056306142","71.1166289344920762"
"2010-01-17","16130","68.8778673279603224","65.9268443893366398"
"2010-01-18","17611","62.0067003577309636","61.2060643915734484"
"2010-01-19","16950","72.5722713864306785","71.0619469026548673"
"2010-01-20","17297","72.0992079551367289","67.2486558362721859"
"2010-01-21","17795","62.5681371171677437","56.2854734475976398"
"2010-01-22","17865","60.9459837671424573","56.7590260285474391"
"2010-01-23","13714","72.2035875747411404","68.0545428029750620"
"2010-01-24","16585","66.1561652095266807","62.3756406391317456"
"2010-01-25","17677","62.6576907846354019","59.7103580924364994"
"2010-01-26","16934","80.2763670721625133","77.3355379709460257"
"2010-01-27","17302","76.1472662119986129","72.4656109120332909"
"2010-01-28","17806","68.5780074132314950","63.4954509715826126"
"2010-01-29","17869","65.2638647937769321","62.0460014550338575"
"2010-01-30","13677","69.7594501718213058","67.9096293046720772"
"2010-01-31","16593","66.4376544325920569","69.0411619357560417"
"2010-02-01","17695","72.5289629838937553","72.0372986719412263"
"2010-02-02","16941","76.8136473643822679","71.7667197922200578"
"2010-02-03","17298","75.1127297953520638","70.9272748294600532"
"2010-02-04","17819","68.0509568438183961","62.7756888714293731"
"2010-02-05","17910","57.4092685650474595","53.5622557230597432"
"2010-02-06","13732","71.8977570637926012","71.7302650742790562"
"2010-02-07","16596","73.0899011810074717","73.8189925283200771"
"2010-02-08","17763","55.5367899566514665","54.8837471147891685"
"2010-02-09","16950","60.5781710914454277","57.7522123893805310"
"2010-02-10","17300","71.7803468208092486","69.9190751445086705"
"2010-02-11","18155","56.4472597080694024","57.7471770862021482"
"2010-02-12","18304","47.6289335664335664","48.5467657342657343"
"2010-02-13","14854","50.7136124949508550","54.6519456038777434"
"2010-02-14","16688","62.3861457334611697","64.2377756471716203"
"2010-02-15","18080","57.3838495575221239","57.3893805309734513"
"2010-02-16","17913","57.7792664545302294","56.5455255959359125"
"2010-02-17","18097","68.0775819196551915","67.0884677018290324"
"2010-02-18","18256","66.8437773882559159","67.7256792287467134"
"2010-02-19","18304","64.6142919580419580","65.0021853146853147"
"2010-02-20","15001","68.4021065262315846","68.9620691953869742"
"2010-02-21","17156","55.1468873863371415","53.0543250174865936"
"2010-02-22","18146","52.5735699327675521","51.2068775487710790"
"2010-02-23","17711","64.3498390830557281","60.1490599062729377"
"2010-02-24","17883","52.4576413353464184","48.3196331711681485"
"2010-02-25","18266","61.0095258951056608","60.7248439724077521"
"2010-02-26","18305","57.3941546025676045","57.0936902485659656"
"2010-02-27","14998","57.8810508067742366","58.4877983731164155"
"2010-02-28","17149","65.3973992652632807","65.9746924018893230"
"2010-03-01","18168","66.5951122853368560","66.0116688683399384"
"2010-03-02","17752","72.1327174402884182","69.2316358720144209"
"2010-03-03","17955","71.9075466443887497","70.7156780840991367"
"2010-03-04","18301","72.4222720069941533","73.7172832085678378"
"2010-03-05","18354","69.1075514874141876","69.2165195597689877"
"2010-03-06","15097","75.1341326091276413","76.6774855931642048"
"2010-03-07","17234","62.8931182546129744","63.6300336544040849"
"2010-03-08","18221","63.0755721420339169","61.3028922671642610"
"2010-03-09","17807","70.8092323243668220","71.5392823047116303"
"2010-03-10","17984","59.1915035587188612","57.5233540925266904"
"2010-03-11","18330","50.9383524277141298","49.2416803055100927"
"2010-03-12","18380","44.8422198041349293","43.5255712731229597"
"2010-03-13","15250","54.0065573770491803","56.2032786885245902"
"2010-03-14","17421","50.2382182423511854","53.7052982033178348"
"2010-03-15","18346","51.6025291616701188","55.4616810203859152"
"2010-03-16","17929","68.0461821629761838","70.3162474203803893"
"2010-03-17","18112","69.4511925795053004","71.1351590106007067"
"2010-03-18","18453","68.7693058039343196","72.7361404649650463"
"2010-03-19","18507","64.9051710163721835","67.0503052898903118"
"2010-03-20","15585","56.0089829964709657","57.6323387872954764"
"2010-03-21","17448","52.9401650618982118","52.5561668959193031"
"2010-03-22","18348","55.6354916067146283","56.8944844124700240"
"2010-03-23","17932","67.7113540040151684","69.2505018960517511"
"2010-03-24","18129","61.2223509294500524","62.2814275470241050"
"2010-03-25","18453","57.5678751422532921","58.0989540996044004"
"2010-03-26","18503","57.5474247419337405","59.1471653245419662"
"2010-03-27","15555","64.2815814850530376","67.8945676631308261"
"2010-03-28","17407","61.8659160108002528","60.2458780950192451"
"2010-03-29","18309","58.6487519799005953","58.1244196843082637"
"2010-03-30","17909","63.9901725389468982","64.0236752470824725"
"2010-03-31","18083","66.9136758281258641","67.6270530332356357"
"2010-04-01","18384","68.7119234116623151","70.6810269799825936"
"2010-04-02","18430","67.7645143787303310","67.7319587628865979"
"2010-04-03","15343","73.5970801016750310","76.2432379586782246"
"2010-04-04","17365","70.8321336020731356","70.1698819464439965"
"2010-04-05","18262","65.9621071076552404","66.5973058810645055"
"2010-04-06","17775","62.8016877637130802","63.0210970464135021"
"2010-04-07","18017","60.6482766276294611","58.8721762779597047"
"2010-04-08","18318","59.9683371547112130","59.1931433562616006"
"2010-04-09","18343","67.7424630649294009","69.5088044485634847"
"2010-04-10","15069","71.3186011015993098","74.5968544694405734"
"2010-04-11","17332","63.9453034848834526","64.8857604431110085"
"2010-04-12","18239","64.1647020121717199","64.7897362794012830"
"2010-04-13","17757","73.4752491974995776","71.2000901053105817"
"2010-04-14","18005","75.5345737295195779","75.5234657039711191"
"2010-04-15","18292","71.7417450251476055","73.7043516291274874"
"2010-04-16","18352","70.2757192676547515","71.4962946817785527"
"2010-04-17","15076","77.4011674184133722","79.1788272751392942"
"2010-04-18","17368","71.3035467526485491","71.7468908337171810"
"2010-04-19","18234","75.9679719205879127","76.4560710760118460"
"2010-04-20","17739","76.9660071029934044","75.2917300862506342"
"2010-04-21","18000","72.9944444444444444","69.8000000000000000"
"2010-04-22","18297","63.7262939279663333","60.0262338088211182"
"2010-04-23","18362","65.7444722797080928","63.5660603420106742"
"2010-04-24","15058","62.3057510957630495","59.7688936113693718"
"2010-04-25","17364","60.8154803040774015","58.5694540428472702"
"2010-04-26","18209","62.6558295348454061","62.6228787961996815"
"2010-04-27","17710","72.9249011857707510","70.2484472049689441"
"2010-04-28","17972","72.3681281994213221","69.3968395281549076"
"2010-04-29","18289","66.2091967849527038","64.2134616436109137"
"2010-04-30","18369","66.6993303935979095","64.5979639610212859"
"2010-05-01","15001","68.6087594160389307","66.9488700753283114"
"2010-05-02","17410","59.7587593337162550","55.9161401493394601"
"2010-05-03","18238","58.2684504879921044","56.9525167233249260"
"2010-05-04","17784","73.2062528115159694","70.2541610436347278"
"2010-05-05","18008","75.6108396268325189","73.9449133718347401"
"2010-05-06","18328","70.4168485377564382","69.8766914011348756"
"2010-05-07","18393","61.4255423258848475","60.1098243897134780"
"2010-05-08","15000","70.4733333333333333","68.6666666666666667"
"2010-05-09","17489","67.8254903081937218","64.4233518211447195"
"2010-05-10","18383","62.7427514551487788","57.9937986182886362"
"2010-05-11","17933","65.6276138961690738","59.8895890258183238"
"2010-05-12","18077","58.1014548874260110","52.5972229905404658"
"2010-05-13","18403","52.3555941965983807","51.0623267945443678"
"2010-05-14","18484","55.4425449037004977","52.5427396667388011"
"2010-05-15","15066","59.1397849462365591","62.4054161688570291"
"2010-05-16","17527","64.2551491983796428","64.7344097677868432"
"2010-05-17","18437","60.1616315018712372","58.1710690459402289"
"2010-05-18","17987","65.4973036081614499","62.4117418135319953"
"2010-05-19","18131","67.8616733770889637","66.6813744415641719"
"2010-05-20","18445","63.7679587964217945","62.4722146923285443"
"2010-05-21","18527","53.5704647271549630","51.7353052302045663"
"2010-05-22","15087","65.6459203287598595","67.3427454099555909"
"2010-05-23","17550","63.9487179487179487","63.0256410256410256"
"2010-05-24","18443","61.9205118473133438","59.6866019628043160"
"2010-05-25","18001","67.1629353924781957","64.9963890894950281"
"2010-05-26","18140","63.7816979051819184","62.7618522601984564"
"2010-05-27","18606","57.7394388906804257","56.2775448779963453"
"2010-05-28","18675","58.9504685408299866","57.8420348058902276"
"2010-05-29","14868","68.3346785041700296","71.4151197202044660"
"2010-05-30","14566","77.8731292049979404","78.4086228202663737"
"2010-05-31","17760","61.4132882882882883","58.8288288288288288"
"2010-06-01","18460","55.6717226435536295","56.0996749729144095"
"2010-06-02","18262","54.9775490088708794","53.2526557879750301"
"2010-06-03","18535","60.4801726463447532","58.9479363366603723"
"2010-06-04","18615","63.7013161428955144","61.2248186946011281"
"2010-06-05","15252","67.2501966955153423","69.3089430894308943"
"2010-06-06","17658","57.3167969192434024","56.1162079510703364"
"2010-06-07","18571","62.6514458025954445","64.4284098863819934"
"2010-06-08","18146","64.7250082662845806","65.0942356442191116"
"2010-06-09","18361","58.5316703883230761","55.7812755296552475"
"2010-06-10","18974","57.2836513123221250","55.1755033203330874"
"2010-06-11","19085","55.7401100340581609","54.5297353942887084"
"2010-06-12","16420","55.0852618757612667","55.3105968331303289"
"2010-06-13","18207","52.8093590377327402","52.2216729829186577"
"2010-06-14","19062","55.4244045745462176","56.6414856783128738"
"2010-06-15","18942","58.1881533101045296","57.2378840671523598"
"2010-06-16","19000","55.8842105263157895","55.9368421052631579"
"2010-06-17","19072","60.7277684563758389","62.2535654362416107"
"2010-06-18","19135","58.3694800104520512","59.1063496211131435"
"2010-06-19","16464","56.4868804664723032","59.3294460641399417"
"2010-06-20","18226","63.5575551410073521","67.4969823329309777"
"2010-06-21","19061","56.9697287655422066","58.4754210167357431"
"2010-06-22","18971","61.1986716567392336","61.8470296768752306"
"2010-06-23","19028","54.6930838763926845","55.0557073785999580"
"2010-06-24","19073","47.7795837047134693","47.7953127457662664"
"2010-06-25","19133","52.4277426436000627","55.2135054617676266"
"2010-06-26","16496","61.3178952473326867","66.5615906886517944"
"2010-06-27","18253","55.1525776584671013","55.8812250041089136"
"2010-06-28","19114","51.7944961808098776","53.9342890028251543"
"2010-06-29","19033","56.5438974412861871","57.9572321756948458"
"2010-06-30","19078","57.8362511793689066","58.3604151378551211"
"2010-07-01","19145","57.9472447114129015","59.1956124314442413"
"2010-07-02","19210","57.0640291514836023","57.8292555960437272"
